left_length,right_length,left_angle,right_angle,width,height,Gx,Gy
120.0,60.0,90.0,0.0,3.325,5.80501,-0.22004445840974693,2.9954529379154864
120.0,60.0,0.0,90.0,7.4700405,4.75000605,2.0486186912078432,2.1591356226732117
0.0,0.0,45.0,45.0,6.8299970000000005,4.869999,-0.08480865699525075,2.639983520183019
60.0,60.0,90.0,0.0,5.8349975,5.8600165,-0.6886577633891114,2.9748608224637056
0.0,60.0,45.0,90.0,4.2199995,7.475020499999999,0.3063931120276945,4.332669612179706
0.0,120.0,45.0,90.0,6.0850325000000005,3.2500000499999997,-0.6957025163286412,1.5061333216164512
120.0,120.0,45.0,90.0,4.660000050000001,6.5600285000000005,0.9328363246700805,3.22114298615659
120.0,120.0,0.0,45.0,4.5999989999999995,3.8899999999999997,0.04691860577898014,1.9330788903049914
60.0,120.0,0.0,0.0,5.450007000000001,2.8300008,-1.389972916216188,1.2677534843369156
0.0,60.0,45.0,0.0,8.310029,4.0349995,-0.49979134400444136,1.7809598791866357
60.0,120.0,45.0,45.0,6.190042999999999,3.865,-0.6635366409109502,1.6437745878715178
60.0,120.0,0.0,45.0,8.870027500000003,2.470001,0.13239439128897232,1.2757653865187901
60.0,120.0,45.0,90.0,4.819999,6.7700205,0.18723513574204387,3.7139149459316174
0.0,60.0,45.0,45.0,6.160000500000001,4.72501105,-0.8468543078362427,2.021962323358226
60.0,60.0,0.0,45.0,11.500098000000001,2.5800009,-0.13842754101416158,1.0039469603464806
60.0,60.0,45.0,90.0,3.6149994999999997,7.40002,0.3213368754942651,3.648004092462637
0.0,120.0,45.0,0.0,10.975068,1.4950017500000001,0.3303484157400388,0.5160343971945429
60.0,120.0,90.0,45.0,6.610011999999999,5.4200045,-0.6558949319331656,2.5982056805617493
60.0,120.0,45.0,0.0,9.1550285,3.3250005,-0.39237020087976826,1.5400264045272805
60.0,120.0,90.0,90.0,4.3050005,8.970055,0.5175555556800662,4.201954708072436
120.0,120.0,0.0,90.0,4.689999,5.929997500000001,1.1232215279794906,2.7896540109394383
0.0,120.0,45.0,45.0,6.7600165,5.095008,-0.19458036332409334,2.498218326067967
60.0,120.0,0.0,90.0,3.325,5.80501,0.22004445840974693,2.9954529379154864
60.0,120.0,90.0,0.0,7.4700405,4.75000605,-2.0486186912078432,2.159135622673212
60.0,60.0,0.0,90.0,5.8349975,5.8600165,0.6886577633891116,2.9748608224637065
120.0,120.0,90.0,90.0,5.5000395499999994,7.990024,-1.0637614315677462,2.7380570245000477
60.0,60.0,0.0,0.0,8.380021,1.7600014499999999,0.19175909301641464,0.8691363998969375
0.0,60.0,45.0,0.0,4.454999,2.2750011,-1.0158829555329494,1.1362481808035574
60.0,60.0,45.0,0.0,6.3249975,4.13,0.3840499813185582,1.81129194493394
